date,winter,summer
2024-01-01,40.0,35.52
2024-01-02,39.07,35.01
2024-01-03,39.36,35.79
2024-01-04,43.16,36.65
2024-01-05,40.89,35.13
2024-01-06,40.31,35.2
2024-01-07,42.31,36.9
2024-01-08,40.38,36.24
2024-01-09,42.54,35.19
2024-01-10,41.43,36.17
2024-01-11,40.57,35.34
2024-01-12,41.18,35.4
2024-01-13,41.66,36.11
2024-01-14,39.54,34.23
2024-01-15,38.86,34.47
2024-01-16,41.1,35.58
2024-01-17,42.02,35.24
2024-01-18,42.79,36.5
2024-01-19,41.97,35.47
2024-01-20,39.67,35.08
2024-01-21,41.89,37.73
2024-01-22,41.2,36.28
2024-01-23,41.68,36.6
2024-01-24,41.32,35.32
2024-01-25,39.66,36.18
2024-01-26,43.2,36.83
2024-01-27,40.59,35.76
2024-01-28,41.78,37.19
2024-01-29,40.42,36.37
2024-01-30,40.17,36.71
2024-01-31,42.16,36.49
2024-02-01,43.74,38.76
2024-02-02,40.88,37.14
2024-02-03,39.98,36.26
2024-02-04,42.58,38.01
2024-02-05,42.59,36.22
2024-02-06,42.18,37.57
2024-02-07,39.15,35.67
2024-02-08,40.89,36.29
2024-02-09,42.28,37.72
2024-02-10,40.62,38.26
2024-02-11,42.52,37.8
2024-02-12,42.14,37.59
2024-02-13,42.84,37.48
2024-02-14,42.85,36.47
2024-02-15,42.92,37.2
2024-02-16,41.93,37.48
2024-02-17,42.57,38.89
2024-02-18,45.27,38.3
2024-02-19,41.14,36.45
2024-02-20,43.0,38.37
2024-02-21,42.35,37.77
2024-02-22,42.32,37.55
2024-02-23,43.19,38.76
2024-02-24,43.2,39.17
2024-02-25,43.16,39.12
2024-02-26,42.05,37.57
2024-02-27,42.09,38.08
2024-02-28,42.53,38.7
2024-02-29,43.86,39.31
2024-03-01,42.24,38.04
2024-03-02,44.1,38.34
2024-03-03,39.55,37.54
2024-03-04,42.85,37.49
2024-03-05,44.81,39.33
2024-03-06,42.32,39.85
2024-03-07,42.6,38.59
2024-03-08,43.55,39.59
2024-03-09,42.05,39.04
2024-03-10,41.71,38.15
2024-03-11,42.32,39.08
2024-03-12,45.96,40.17
2024-03-13,43.81,38.77
2024-03-14,45.55,40.23
2024-03-15,41.29,36.49
2024-03-16,42.72,39.6
2024-03-17,42.6,38.96
2024-03-18,43.16,38.63
2024-03-19,41.97,38.99
2024-03-20,41.83,37.14
2024-03-21,42.55,38.74
2024-03-22,42.94,39.27
2024-03-23,44.92,40.29
2024-03-24,42.87,38.5
2024-03-25,41.87,38.25
2024-03-26,43.5,38.53
2024-03-27,42.75,39.81
2024-03-28,43.73,39.29
2024-03-29,42.92,38.52
2024-03-30,43.03,39.46
2024-03-31,43.21,39.09
2024-04-01,42.55,39.87
2024-04-02,42.98,38.37
2024-04-03,42.3,38.7
2024-04-04,41.91,38.64
2024-04-05,42.34,37.67
2024-04-06,42.32,39.25
2024-04-07,41.62,39.21
2024-04-08,41.23,38.97
2024-04-09,42.93,38.74
2024-04-10,40.14,37.67
2024-04-11,43.74,38.55
2024-04-12,40.32,38.61
2024-04-13,43.27,38.18
2024-04-14,42.48,38.74
2024-04-15,42.68,39.24
2024-04-16,43.57,40.55
2024-04-17,42.84,38.99
2024-04-18,42.48,39.05
2024-04-19,43.17,38.73
2024-04-20,40.58,37.04
2024-04-21,42.28,38.72
2024-04-22,41.85,38.78
2024-04-23,44.24,40.91
2024-04-24,42.14,38.5
2024-04-25,40.72,38.91
2024-04-26,40.7,38.58
2024-04-27,41.51,37.53
2024-04-28,43.03,39.58
2024-04-29,42.31,39.2
2024-04-30,42.48,39.2
2024-05-01,41.19,37.63
2024-05-02,42.42,39.68
2024-05-03,39.63,37.12
2024-05-04,42.25,38.87
2024-05-05,42.58,40.28
2024-05-06,40.91,37.37
2024-05-07,39.34,37.72
2024-05-08,42.34,38.27
2024-05-09,41.24,37.69
2024-05-10,40.04,36.7
2024-05-11,42.1,38.12
2024-05-12,41.64,37.05
2024-05-13,42.37,38.39
2024-05-14,38.49,37.09
2024-05-15,41.16,39.27
2024-05-16,39.59,37.12
2024-05-17,40.53,37.48
2024-05-18,41.93,38.46
2024-05-19,38.91,36.56
2024-05-20,40.98,37.83
2024-05-21,41.04,38.74
2024-05-22,38.48,36.07
2024-05-23,39.32,37.63
2024-05-24,39.75,37.64
2024-05-25,39.77,38.05
2024-05-26,38.23,36.18
2024-05-27,39.91,36.05
2024-05-28,39.7,37.65
2024-05-29,42.66,37.39
2024-05-30,40.62,37.29
2024-05-31,40.37,37.32
2024-06-01,38.44,36.33
2024-06-02,40.59,37.09
2024-06-03,39.43,37.09
2024-06-04,39.08,36.12
2024-06-05,43.53,38.38
2024-06-06,39.82,37.06
2024-06-07,39.38,35.5
2024-06-08,39.3,37.1
2024-06-09,38.37,35.57
2024-06-10,41.51,37.09
2024-06-11,39.62,37.36
2024-06-12,39.96,35.51
2024-06-13,40.5,37.05
2024-06-14,38.8,36.49
2024-06-15,40.17,36.79
2024-06-16,41.38,37.7
